company,type,division,level,amount
Sweet Cheeks Bakery,Team Sponsor,Softball,Gold Sponsor,1000
Two Rivers Realty,Team Sponsor,Softball,Gold Sponsor,1000
Sprague Energy,Field Banner,Softball,Silver Sponsor,750
Holyoke Construction,Field Banner,Baseball,Bronze Sponsor,350
Northeast Collectibles,Field Banner,Baseball,Bronze Sponsor,350
Rainwater Solutions,Field Banner,Baseball,Bronze Sponsor,350
SCRAMCO,Field Banner,Baseball,Bronze Sponsor,350
Stone Artisans,Field Banner,Baseball,Bronze Sponsor,350
Big Jay Tree Service,Field Banner,Baseball,Supporter,200
Bucksport Nutrition,Field Banner,Baseball,Supporter,200
Community Pharmacy,Field Banner,Baseball,Supporter,200
Curl & Crosshairs,Field Banner,Baseball,Supporter,200
Daves auto repair,Field Banner,Baseball,Supporter,200
Downeast Yaht Services,Field Banner,Baseball,Supporter,200
Empire Electrical,Field Banner,Baseball,Supporter,200
Kim Burgess Tax Service,Field Banner,Baseball,Supporter,200
Northeast Cable Construction,Team Sponsor,Softball,Supporter,X
